last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
06-12-2024 14:00,8.95,125250,200,250,8,8.95,20850,-1275,N,-7975,Y,0.04,4.5,394500,2275,-625,4.55,4.55,26825,19500,N,-32875,Y,-0.18,-7.75,157325,-225,-175,-7.15,-7.4,20575,-87800,Y,11000,N,-0.15,0.35,4170,-45,30,10,1,6510,-135,4080,0.14
06-12-2024 14:05,-1.85,17475,-50,-375,2.15,1.05,11800,-18375,N,1350,N,0.04,0.8,449225,1500,-1600,0.5,0.65,31700,4675,N,225,N,-0.17,0.9,165350,425,-50,0.95,0.8,19700,6425,N,-7250,N,-0.18,17.5,6195,45,0,10.4,13.05,7995,-2880,600,0.24
06-12-2024 14:10,-2.3,15375,500,225,-3.25,-3.1,14900,5575,Y,-975,Y,0.03,0.55,357825,150,0,0.05,0.05,26925,16125,N,-350,Y,-0.14,-1.55,123900,-300,325,-0.95,-0.65,22600,-4800,Y,9925,N,-0.13,-29.95,4380,-30,105,-22.8,-18.45,6075,735,165,0.15
06-12-2024 14:15,-1.95,20825,-125,75,-1.4,-2.9,13450,-7425,N,3525,N,0.07,-3.3,475575,175,-1425,-3.3,-3.3,25475,-9950,YES,23300,YES,-0.17,3.9,201725,25,-25,5.15,5,25375,5325,N,-13675,N,-0.24,10.1,4995,-15,-105,-2.3,-1.4,6630,-5850,-6390,0.16
06-12-2024 14:20,2.05,13250,250,-125,2.1,3.7,12775,-5200,N,-1375,Y,0.04,0.8,544200,350,-575,0.85,0.8,31050,24525,Y,26800,N,-0.2,0.65,112375,-100,25,0.75,0.6,22000,5275,N,-1900,N,-0.12,-18.05,3855,-30,-15,-4.45,-11.05,5430,3180,7035,0.13
06-12-2024 14:25,-17.05,28575,150,600,-17.05,-16.15,14250,-5825,N,2500,N,0,-6.05,583125,250,-750,-6.1,-6.15,28550,-54725,N,34550,N,-0.25,8.85,179575,325,500,8.45,8.55,19550,-10200,Y,-12875,N,-0.15,-61.15,15555,-15,15,-41.15,-46.85,7440,-15855,1020,0.3
06-12-2024 14:30,-12.95,56550,75,-225,-15.1,-12.8,15550,-3875,N,1550,Y,-0.25,-2.35,814200,525,-200,-2.45,-2.45,25350,-2125,Y,4800,N,-0.41,7.85,415525,50,-75,7.6,7.75,24250,3625,N,-12250,N,-0.13,-1.65,20505,-60,-45,-19.5,-13.65,7815,-3435,-1455,0.03
06-12-2024 14:35,14.5,28375,75,850,14.5,14.95,14525,8475,N,-425,Y,-0.09,6.35,618425,125,300,6.2,6.1,29100,36600,Y,-28650,Y,-0.29,-12.55,317150,50,275,-12.6,-12.5,24600,-20375,Y,28250,Y,-0.14,24.55,13905,-45,0,27,26.75,6315,-2745,2925,0.06
06-12-2024 14:40,-3.9,20475,375,-850,-0.25,-1,13250,1100,N,8125,N,-0.02,-1.65,509375,-200,-50,-2.35,-2.4,27175,-7775,YES,4650,YES,-0.22,0.3,204550,-25,250,-0.3,-0.3,23950,2675,N,2325,N,-0.13,-13.7,4590,-30,0,-1.2,-9.55,6300,-2730,4980,0.03
06-12-2024 14:45,0.05,29850,-75,0,0,2.3,13425,-3950,N,6400,N,0,-3.65,362275,150,250,-3.35,-3.35,30900,-15475,YES,24750,YES,-0.16,0.85,156125,200,25,-0.15,-0.1,22325,450,Y,-2625,N,-0.12,3.55,5640,15,0,-0.05,-6.5,5985,-2025,960,0.05
06-12-2024 14:50,16.85,26075,-25,100,14.95,14.5,17325,5375,N,-5275,Y,0.04,4.4,481925,-175,-275,4.2,4.2,24925,10875,Y,-19950,Y,-0.2,-9.65,246525,200,125,-9.9,-9.75,25875,-4875,Y,-5250,N,-0.25,45.1,14940,-150,705,55.45,54.7,7155,1110,3855,0.33
